priority,route_id,tier,company_or_channel,segment,why_it_fits,public_route,source_url,proof_url,field_note_url,file_check_url,pilot_proof_url,message_variant,proof_hook,ask,status,next_step
1,b02-r01,overflow,Preferred by Nature,EUDR alignment services,Public EUDR service route with a company contact form,public EUDR service page,https://www.preferredbynature.org/certification/pbn-certification/eudr-alignment,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r01,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r01,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r01,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r01,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer first-pass file cleanup overflow for EUDR clients,not_started,Send overflow variant
2,b02-r02,overflow,SCS Global Services,EUDR support and geolocation quality,EUDR support page explicitly includes geolocation quality review work,public EUDR support page,https://www.scsglobalservices.com/services/european-union-deforestation-regulation-eudr-support,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r02,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r02,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r02,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r02,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer row-level cleanup support before formal EUDR review,not_started,Send overflow variant
3,b02-r03,overflow,Control Union,EUDR certification and service intake,Public EUDR service route exposes an application form and contact path,public EUDR service page,https://www.controlunion.com/eu-deforestation-regulation-eudr/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r03,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r03,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r03,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r03,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer malformed CSV KML GeoJSON cleanup before certification intake,not_started,Send overflow variant
4,b02-r04,overflow,Bureau Veritas,EUDR services,Global EUDR service page for operators traders and suppliers,public EUDR service page,https://group.bureauveritas.com/sustainability/nature/eudr,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r04,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r04,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r04,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r04,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer first-pass file hygiene for supplier onboarding overflow,not_started,Send overflow variant
5,b02-r05,overflow,Rainforest Alliance,EUDR support for coffee and cocoa,Public page discusses geodata collection and quality support for cocoa and coffee,public EUDR support page,https://www.rainforest-alliance.org/business/certification/how-the-rainforest-alliance-supports-eudr-compliance-from-farm-to-retailer/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r05,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r05,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r05,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r05,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer a browser-side file-readiness example for coffee and cocoa partners,not_started,Send overflow variant
6,b02-r06,overflow,Proforest,deforestation-free supply-chain advisory,Public EUDR resources for cocoa producers and importers,public EUDR resource page,https://www.proforest.net/news-and-events/news/article/understanding-the-eudr-what-it-is-and-why-it-matters/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r06,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r06,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r06,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r06,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer first-pass supplier file cleanup for implementation teams,not_started,Send overflow variant
7,b02-r07,overflow,Anthesis Group,EUDR compliance advisory,Public EUDR guide covers supplier engagement and due diligence workflows,public EUDR guide page,https://www.anthesisgroup.com/insights/achieving-eudr-compliance-in-6-steps/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r07,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r07,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r07,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r07,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer file-level cleanup support for supplier engagement overflow,not_started,Send overflow variant
8,b02-r08,overflow,valantic,EUDR ESG consulting,Public EUDR consulting page covers cocoa coffee and supply-chain data obligations,public EUDR consulting page,https://www.valantic.com/en/esg-consulting/eudr/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r08,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r08,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r08,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r08,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer cleanup-desk support for messy farm files before advisory review,not_started,Send overflow variant
9,b02-r09,overflow,Global Traceability,EUDR traceability systems,Public EUDR guidance covers supplier and product traceability preparation,public EUDR guidance page,https://www.global-traceability.com/en/how-to-prepare-for-eudr/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r09,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r09,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r09,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r09,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer pre-system file cleanup for CSV KML and GeoJSON handoffs,not_started,Send overflow variant
10,b02-r10,overflow,Sphera,EUDR upstream mapping guidance,Public EUDR guidance covers upstream mapping and land plot verification,public EUDR guidance page,https://sphera.com/resources/blog/eudr-compliance-how-to-achieve-upstream-mapping-and-land-plot-verification/,https://traceready.online/proof/public-cocoa-pilot/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r10,https://traceready.online/field-notes/eudr-file-errors/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r10,https://traceready.online/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r10,https://traceready.online/pilot-proof/?utm_source=proof_led_batch_02&utm_medium=outreach&utm_campaign=eudr_file_readiness&utm_content=b02-r10,overflow,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots",Offer upstream mapping file cleanup before land-plot review,not_started,Send overflow variant
