priority,tier,company_or_channel,segment,why_it_fits,public_route,source_url,message_variant,proof_hook,ask,status,next_step
1,association,European Coffee Federation,EU coffee association,Represents the European coffee sector and publishes sector priorities,public website,https://www.ecf-coffee.org/,association,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as member education proof",Ask for the right member education or EUDR helpdesk route,not_started,Send association variant
2,association,EUDR Coffee / German Coffee Association,EUDR coffee member tooling,Public EUDR tooling channel for German Coffee Association members,public website,https://eudr-coffee.eu/,association,"Lead with 57,658-row public audit as a practical file-readiness supplement to member EUDR tooling",Ask whether a browser-side file-readiness example is useful for members,not_started,Send association variant
3,association,Deutscher Kaffeeverband,German coffee association,Publishes EUDR coffee resources and member tools,public website,https://www.kaffeeverband.de/en,association,"Lead with 57,658-row public audit and 46,134 over-4ha point-only plots as practical file-defect evidence",Ask for the correct EUDR member-resource contact route,not_started,Send association variant
4,association,Specialty Coffee Association,coffee trade education,Publishes coffee-sector education on EUDR supply-chain challenges,public article or organization route,https://sca.coffee/sca-news/25/issue-22/cracking-coffee-regulation,association,"Lead with 57,658-row public audit as a member education example for file-readiness gaps",Ask whether the proof page fits an education or community channel,not_started,Send association variant
5,association,Global Coffee Platform,coffee sustainability platform,Publicly discusses EUDR implementation issues for the coffee sector,public website,https://www.globalcoffeeplatform.org/latest/2024/gcp-signs-letter-to-eu-commission/,association,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as a smallholder-file readiness example",Ask for referral to a practical implementation resource channel,not_started,Send association variant
6,importer,Cafe Imports Europe,specialty green coffee importer,Public Europe contact route and specialty green coffee buyer base,public contact page,https://www.cafeimports.com/europe/blog/general-contact/,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots before asking for one supplier file",Ask them to run one supplier file browser-side,not_started,Send importer variant
7,importer,Sucafina Specialty Europe,green coffee network,Serves roasters across Europe Middle East and Africa with green coffee sourcing,public EMEA page,https://sucafina.com/emea,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as supplier-file cleanup proof",Ask for the team that handles supplier file readiness,not_started,Send importer variant
8,importer,Falcon Coffees Europe,specialty green coffee trader,Dedicated EU specialty service with Berlin presence,public Europe page,https://falconcoffees.com/falcon-europe/,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as pre-platform cleanup evidence",Ask whether one messy EU supplier file is worth checking,not_started,Send importer variant
9,importer,Nordic Approach,specialty green coffee importer,Works with roasters and green coffee buyers across Europe and beyond,public website,https://www.nordicapproach.no/,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as buyer-review rework proof",Ask them to run one CSV KML or GeoJSON file browser-side,not_started,Send importer variant
10,importer,Trabocca,specialty coffee importer,Emphasizes traceable coffees and end-to-end supply-chain control,public about page,https://www.trabocca.com/about-us/,importer,"Lead with 57,658-row public audit and 46,134 over-4ha point-only rows as traceable-file readiness evidence",Ask whether supplier file cleanup is a current bottleneck,not_started,Send importer variant
11,importer,InterAmerican Coffee Europe,specialty green coffee importer,European specialty green coffee importer within Neumann Kaffee Gruppe,public website,https://interamericancoffee.de/,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as row-level cleanup proof",Ask for a referral to the person handling supplier geolocation files,not_started,Send importer variant
12,importer,EFICO,green coffee specialist,Belgian green coffee specialist connecting farmers and roasters,public website,https://efico.com/,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as file-readiness evidence",Ask whether one coffee or cocoa supplier file can be checked,not_started,Send importer variant
13,importer,Daarnhouwer & Co,coffee and cocoa trader,Trades coffee and cocoa so TraceReady commodity coverage is directly relevant,public coffee page,https://daarnhouwer.com/coffee/,importer,"Lead with 57,658-row public audit and 46,134 over-4ha point-only plots as coffee/cocoa file-cleanup proof",Ask whether coffee or cocoa supplier files need pre-buyer cleanup,not_started,Send importer variant
14,importer,Ally Coffee Europe,green coffee company,Has European specialty coffee contact route and green coffee buyer audience,public contact page,https://www.allycoffee.com/contact-us/,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as browser-side readiness proof",Ask for the right European specialty sourcing or compliance route,not_started,Send importer variant
15,importer,Covoya Specialty Coffee Europe,wholesale green coffee importer,Public Europe office contact route for wholesale green coffee importing,public contact page,https://www.covoyacoffee.com/contact,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots before offering one-file cleanup",Ask whether one supplier handoff file can be tested browser-side,not_started,Send importer variant
16,importer,Belco,green coffee importer,Imports and distributes green coffee in France and Europe,public company page,https://salpa.fr/en/the-group/belco/,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as operational file-readiness proof",Ask for the route that handles supplier documentation quality,not_started,Send importer variant
17,importer,List + Beisler,specialty green coffee importer,Hamburg green coffee importer serving specialty roasters,public website,https://www.list-beisler.coffee/en/,importer,"Lead with 57,658-row public audit and 46,134 over-4ha point-only plots as supplier-file cleanup evidence",Ask whether one supplier CSV KML or GeoJSON is worth checking,not_started,Send importer variant
18,importer,DRWakefield,green coffee trader,Independent green coffee trader with UK and EU offices,public contact page,https://drwakefield.com/contact/,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as importer-file readiness proof",Ask whether the EU office has a current supplier-file cleanup bottleneck,not_started,Send importer variant
19,importer,Hamburg Coffee Company HACOFCO,green coffee trader,Hamburg green coffee trader focused on Germany Europe and certified coffees,public website,https://hacofco.com/,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as certified-coffee file readiness evidence",Ask for the correct supplier documentation or sustainability route,not_started,Send importer variant
20,importer,Volcafe UK and Ireland,green coffee importer,Green coffee sourcing and import office serving UK and Ireland roasters,public network page,https://www.volcafe.com/network/uk-ie,importer,"Lead with 57,658-row public audit and 46,134 point-only over-4ha plots as pre-review cleanup proof",Ask whether one supplier file can be run through the browser-side check,not_started,Send importer variant
